Question Type,Reference,Question,Answer
QT,4:12,Quote Hebrews 4:12,"For the word of God is living and active, sharper than any two-edged sword, piercing to the division of soul and of spirit, of joints and of marrow, and discerning the thoughts and intentions of the heart."
QT,4:13,Quote Hebrews 4:13,"And no creature is hidden from his sight, but all are naked and exposed to the eyes of him to whom we must give account."
FTV,4:11,Let us therefore strive to ,"enter that rest, so that no one may fall by the same sort of disobedience."
FTV,4:12,For the word of God,"is living and active, sharper than any two-edged sword, piercing to the division of soul and of spirit, of joints and of marrow, and discerning the thoughts and intentions of the heart."
FTV,4:13,And no creature is hidden ,"from his sight, but all are naked and exposed to the eyes of him to whom we must give account."
INT,4:1,"While the promise of entering his rest still stands, what?",Let us fear
INT,4:1,While the promise of entering what?,His rest
INT,4:1,While the promise of entering his res what?,Still stands
INT,4:1,Any of you should seem to what?,Have failed to reach it
INT,4:1,Should seem to reach what?,The promise of entering his rest
INT,4:2,What did not benefit them?,The message they heard
INT,4:2,Did not benefit them why?,Because they were not united by faith
INT,4:2,They were not united by what?,Faith
INT,4:2,They were not united by faith with whom?,Those who listened
INT,4:2,What with those who listened?,United by faith
INT,4:3,For we who have believed what?,Enter that rest
INT,4:3,His works were finished from when?,The foundation of the world
INT,4:3,Finished from the foundation of what?,The world
INT,4:5,And again in this passage he said what?,They shall not enter my rest
INT,4:7,"Again he appoints a certain day, when?",Today
INT,4:7,In the words already what?,Quoted
INT,4:7,Which words already quoted?,"Today if you hear his voice, do not harden your hearts"
INT,4:8,For if Joshua had what?,Given them rest
INT,4:9,There remains a Sabbath rest for who?,The people of God
INT,4:9,A Sabbath what?,Rest
INT,4:11,The same sort of what?,Disobedience
INT,4:11,What by the same sort of disobedience?,No one may fall
INT,4:12,What is living and active?,The word of God
INT,4:12,Sharper than what?,Any two-edged sword
INT,4:12,What and active?,Living
INT,4:12,Any two-edged what?,Sword
MA,4:12,Piercing to the division of what?,"Soul and spirit, of joints and of marrow"
INT,4:12,The division of soul and what?,Spirit
INT,4:12,Of joints and of what?,Marrow
INT,4:12,What and of marrow?,Of joints
MA,4:12,Discerning what?,The thoughts and intentions of the heart
INT,4:12,Discerning the thoughts and what?,Intentions of the heart
INT,4:12,What and intentions of the heart?,The thoughts
INT,4:13,And no creature is what?,Hidden from his sight
INT,4:13,All are naked and what?,Exposed to the eyes of him to whom we must give account
INT,4:13,Exposed to what?,The eyes of him to whom we must give account
INT,4:14,"Who, who has passed through the heavens?","A great high priest, Jesus the Son of God"
INT,4:14,Who has passed through where?,The heavens
INT,4:15,Unable to sympathize with what?,Our weaknesses
INT,4:15,What with our weaknesses?,Unable to sympathize
INT,4:16,"Find grace, why?",To help in time of need
INT,4:16,What and find grace to help in time of need?,We may receive mercy
QT,5:7,Quote Hebrews 5:7,"In the days of his flesh, Jesus offered up prayers and supplications, with loud cries and tears, to him who was able to save him from death, and he was heard because of his reverence."
QT,5:8,Quote Hebrews 5:8,"Although he was a son, he learned obedience through what he suffered."
QT,5:9,Quote Hebrews 5:9,"And being made perfect, he became the source of eternal salvation to all who obey him,"
QT,5:10,Quote Hebrews 5:10,being designated by God a high priest after the order of Melchizedek.
FTV,5:7,In the days of his,"flesh, Jesus offered up prayers and supplications, with loud cries and tears, to him who was able to save him from death, and he was heard because of his reverence."
FTV,5:8,"Although he was a son,", he learned obedience through what he suffered.
FTV,5:9,"And being made perfect, he"," became the source of eternal salvation to all who obey him,"
FTV,5:10,being designated by God a,high priest after the order of Melchizedek.
INT,5:1,Every high priest chosen how?,From among men
INT,5:1,Every high priest chosen among who?,Men
INT,5:1,What chosen from among men?,Every high priest
INT,5:1,Men in relation to who?,God
MA,5:1,"In relation to God, to offer what?",Gifts and sacrifices
INT,5:1,"In relation to God, to offer gifts and sacrifices why?",For sins
MA,5:2,He can deal gently with whom?,The ignorant and wayward
INT,5:2,He can deal gently with the ignorant and what?,Wayward
INT,5:2,What and wayward?,Ignorant
INT,5:2,"He can deal gently with the ignorant and wayward, why?",Since he himself is beset with weakness
INT,5:2,He himself is beset with what?,Weakness
INT,5:2,Who is beset with weakness?,He himself
INT,5:3,He is obligated to what?,Offer sacrifice for his own sins
INT,5:3,He is obligated to offer what?,Sacrifice for his own sins
INT,5:3,He is obligated to offer sacrifice for his own sins just as what?,He does for those of the people
INT,5:5,Christ did not exalt who?,Himself
INT,5:5,Christ did not exalt himself why?,To be made a high priest
INT,5:5,"Christ did not exalt himself to be made a high priest, but was what?",Appointed
INT,5:7,Jesus offered up prayers and supplications when?,In the days of his flesh
INT,5:7,Jesus offered up prayers and what?,Supplications
MA,5:7,Jesus offered up prayers and supplications how?,With loud cries and tears
INT,5:7,Loud what?,Cries
INT,5:7,With loud cries and what?,Tears
INT,5:7,Loud cries and tears to who?,To him who was able to save him from death
INT,5:8,He learned obedience how?,Through what he suffered
INT,5:8,He learned what?,Obedience
INT,5:8,Which obedience?,Learned
INT,5:10,Being designated by God a what?,High priest after the order of Melchizedek.
INT,5:10,Being designated by whom?,God
INT,5:11,It is hard to explain why?,Since you have become dull of hearing
INT,5:11,Dull of what?,Hearing
INT,5:11,What of hearing?,Dull
INT,5:12,By this time you ought to be what?,Teachers
INT,5:12,The basic what?,Principles of the oracles of God
INT,5:12,The basic principles of what?,The oracles of God
INT,5:12,The oracles of whom?,God
INT,5:12,Which principles?,The basic
INT,5:12,The basic principles of the oracles of God. You need what?,Milk
INT,5:13,Who is unskilled in the word of righteousness?,Everyone who lives on milk
INT,5:14,What is for the mature?,Solid food
INT,5:14,Powers of discernment trained by what?,Constant practice to distinguish good from evil
INT,5:14,Constant what?,Practice
INT,5:14,Constant practice to what?,Distinguish good from evil
INT,5:14,Distinguish what?,Good from evil
QT,6:10,Quote Hebrews 6:10,"For God is not unjust so as to overlook your work and the love that you have shown for his name in serving the saints, as you still do."
QT,6:11,Quote Hebrews 6:11,"And we desire each one of you to show the same earnestness to have the full assurance of hope until the end,"
QT,6:12,Quote Hebrews 6:12,"so that you may not be sluggish, but imitators of those who through faith and patience inherit the promises."
FTV,6:10,For God is not unjust,"so as to overlook your work and the love that you have shown for his name in serving the saints, as you still do."
FTV,6:11,And we desire each one,"of you to show the same earnestness to have the full assurance of hope until the end,"
FTV,6:12,so that you may not,"be sluggish, but imitators of those who through faith and patience inherit the promises."
INT,6:1,Which doctrine?,The elementary doctrine of Christ
INT,6:1,Leave the elementary what?,Doctrine of Christ
INT,6:1,Leave the elementary doctrine of Christ and what?,Go on to maturity
INT,6:1,"Go on to maturity, not laying again a what?",Foundation of repentance from dead works and of faith toward God
MA,6:1,"Go on to maturity, not laying again a foundation of what?",Repentance from dead works and of faith toward God
MA,6:2,Of instruction about what?,"Washings, the laying on of hands, the resurrection of the dead, and eternal judgement"
INT,6:3,What if God permits?,This we will do
INT,6:4,Which gift?,The heavenly
INT,6:4,"Tasted the heavenly gift, and have what?",Shared in the Holy Spirit
INT,6:4,What and have shared in the Holy Spirit?,Tasted the heavenly gift
INT,6:5,Tasted the goodness of what?,The word of God
INT,6:6,"Then have fallen away, to what?",Restore them again to repentance
INT,6:6,Restore them how?,Again to repentance
INT,6:6,"Restore them again to repentance, why?",Since they are crucifying once again the Son of God
INT,6:6,They are crucifying once again who?,The Son of God
INT,6:6,They are crucifying once again the Son of God to what?,Their own harm
INT,6:6,What to their own harm?,Crucifying the Son of God
INT,6:6,Crucifying the Son of God to their own harm and what?,Holding him up to contempt
INT,6:6,What to contempt?,Holding him up
INT,6:7,For land that has drunk what?,The rain that often falls on it
INT,6:7,Which rain?,That often falls on it
INT,6:7,Drunk the rain that what?,Often falls on it
INT,6:7,The rain that often what?,Falls on it
INT,6:7,What falls on it?,Rain
INT,6:7,"For land that has drunk the rain that often falls on it, and what?",Produces a crop
INT,6:7,Which crop?,Useful to those for whose sake it is cultivated
INT,6:7,Produces a crop useful to who?,Those for whose sake it is cultivated
INT,6:7,What is cultivated?,A crop
INT,6:8,But if it bears thorns and what?,Thistles
MA,6:8,"If it bears thorns and thistles, it is what?",Worthless and near to being cursed
INT,6:8,"Near to being cursed, and its end is what?",To be burned
INT,6:8,What and thistles?,Thorns
INT,6:9,"Beloved, we feel what?",Sure of better things
INT,6:9,Things that belong to what?,Salvation
INT,6:9,"In your case, beloved, we what?",Feel sure of better things
INT,6:10,Who is not unjust?,God
INT,6:9,God is not unjust how?,So as to overlook your work
MA,6:9,So as to overlook what?,Your work and the love that you have shown for his name
INT,6:9,To overlook your work and what?,The love that you have shown for his name
INT,6:9,Serving who?,The saints
INT,6:11,Which earnestness?,The same
INT,6:11,Show the same earnestness why?,To have the full assurance of hope
INT,6:11,Show the same earnestness to have the full assurance of hope until when?,The end
INT,6:12,"You may not be sluggish, but what?",Imitators of those who through faith and patience inherit the promises
INT,6:12,Imitators of those who what?,Through faith and patience inherit the promises
INT,6:12,Through faith and patience inherit what?,The promises
INT,6:14,Surely I will bless you and what?,Multiply you
INT,6:14,I will bless you and multiply you how?,Surely
INT,6:14,What and multiply you?,Bless you
INT,6:15,Who having patiently waited?,Abraham
INT,6:15,"Abraham, having patiently what?",Waited
INT,6:15,"Abraham, having patiently waited, what?",Obtained the promise
INT,6:15,Waited how?,Patiently
INT,6:16,In all their disputes an oath is what?,Final for confirmation
INT,6:16,And oath is final for what?,Confirmation
INT,6:16,What is final for confirmation?,An oath
INT,6:17,Show more convincingly to who?,The heirs of the promise
INT,6:17,The unchangeable character of what?,His purpose
INT,6:17,He guaranteed it with what?,An oath
INT,6:18,What for God to lie?,It is impossible
INT,6:18,We who have fled for what?,Refuge
INT,6:18,What for refuge?,Fled
INT,6:18,We who fave fled for refuge might have what?,Strong encouragement
INT,6:18,Which encouragement?,Strong
INT,6:18,Strong encouragement to what?,Hold fast to the hope set before us
MA,6:19,Which anchor of the soul?,A sure and steadfast
INT,6:19,A sure and steadfast what?,Anchor of the soul
INT,6:19,"A sure and steadfast anchor of the soul, a hope that what?",Enters into the inner place behind the curtain
INT,6:19,"The inner place, where?",Behind the curtain
INT,6:19-20,"The inner place behind the curtain, where Jesus has what?",Gone as a forerunner on our behalf
INT,6:20,Who as a forerunner on our behalf?,Jesus
MA,7:1,Who met Abraham returning from the slaughter of the kings?,"Melchizedek, king of Salem, priest of the Most High God"
QT,7:26,Quote Hebrews 7:26,"For it was indeed fitting that we should have such a high priest, holy, innocent, unstained, separated from sinners, and exalted above the heavens."
QT,7:27,Quote Hebrews 7:27,"He has no need, like those high priests, to offer sacrifices daily, first for his own sins and then for those of the people, since he did this once for all when he offered up himself."
QT,7:28,Quote Hebrews 7:28,"For the law appoints men in their weakness as high priests, but the word of the oath, which came later than the law, appoints a Son who has been made perfect forever."
FTV,7:26,For it was indeed fitting,"that we should have such a high priest, holy, innocent, unstained, separated from sinners, and exalted above the heavens."
FTV,7:27,"He has no need, like","those high priests, to offer sacrifices daily, first for his own sins and then for those of the people, since he did this once for all when he offered up himself."
FTV,7:28,For the law appoints men,"in their weakness as high priests, but the word of the oath, which came later than the law, appoints a Son who has been made perfect forever."
INT,7:1,Met Abraham returning from what?,The slaighter of the kings
INT,7:1,The slaughter of who?,The kings
INT,7:1,What of the kings?,The slaughter
INT,7:2,To him Abraham apportioned what?,A tenth part of everything
INT,7:2,A tenth part of what?,Everything
INT,7:2,By translation of what?,His name
INT,7:2,"By translation of his name, king of what?",Righteousness
INT,7:3,Without father or mother or what?,Genealogy
MA,7:3,"Without father or mother or genealogy, having neither what?",Beginning of days nor end of life
INT,7:3,But resembling who?,The Son of God
INT,7:3,Resembling the Son of God he what?,Continues a priest forever
INT,7:4,Abraham the patriarch gave what?,A tentth of the spoils
INT,7:4,"Who, the patriarch?",Abraham
INT,7:5,Receive the priestly what?,Office
INT,7:7,It is beyond dispute that what?,The inferior is blessed by the superior
INT,7:7,The inferior is blessed by who?,The superior
INT,7:8,What are received by mortal men?,Tithes
INT,7:8,Mortal what?,Men
INT,7:9,Who paid tithes through Abraham?,Levi himself
INT,7:9,Paid what?,Tithes
INT,7:10,The loins of who?,His ancestor
INT,7:10,What of his ancestor?,The loins
INT,7:10,Still in the loins of his ancestor when?,When Melchizedek met him
INT,7:11,Now if perfection had been attainable how?,Through the Levitical priesthood
INT,7:11,Through the Levitical what?,Priesthood
INT,7:11,What had been attainable?,Perfection
INT,7:11,Another priest to arise after what?,The order of Melchizedek
INT,7:12,There is necessarily a what?,Change in the law
INT,7:12,There is necessarily a change in the law when?,When there is a change in the priesthood
INT,7:13,Who belonged to another tribe?,The one of whom these things are spoken
INT,7:13,Has ever served where?,At the altar
INT,7:14,In connection with that tribe Moses said what?,Nothing about priests
INT,7:15,This becomes even more what?,Evident
INT,7:15,Another priest arises how?,In the likeness of Melchizedek
INT,7:15,Another priest arises in the likeness of who?,Melchizedek
INT,7:16,Which basis?,A legal requirement
INT,7:16,Which requirement?,A legal
INT,7:16,Not on the basis of a legal requirement concerning what?,Bodily descent
INT,7:16,An indestructible what?,Life
INT,7:17,"For it is witnessed of him, what?","You are a priest forever, after the order of Melchizedek"
INT,7:18,What and uselessness?,Weakness
INT,7:19,What is intrroduced?,A better hope
INT,7:19,"A better hope is introduced, through which we what?",Draw near to God
INT,7:21,What his mind?,Change
INT,7:21,"Will not change his mind, you are what?",A priest forever
INT,7:22,This makes Jesus the guarantor of what?,A better covenant
INT,7:23,What were many in number?,The former priests
INT,7:23,Many in number why?,Because they were prevented by death from continuing in office
INT,7:23,Prevented by death from what?,Continuing in office
INT,7:24,But he holds his priesthood how?,Permanently
INT,7:24,"He holds his priesthood permanently, why?",Because he continues forever
INT,7:25,Save to the uttermost who?,Those who draw near to God through him
INT,7:25,To make intercession for who?,Those who draw near to God through him
INT,7:26,"Holy, innocent, unstained, separated from sinners and what?",Exalted above the heavens
INT,7:26,Exalted where?,Above the heavens
INT,7:26,Separated from who?,Sinners
INT,7:26,"Who, holy, innnocent, unstained, separated from sinners and exalted above the heaves?",Such a high priest
QT,8:1,Quote Hebrews 8:1,"Now the point in what we are saying is this: we have such a high priest, one who is seated at the right hand of the throne of the Majesty in heaven, "
QT,8:2,Quote Hebrews 8:2,"a minister in the holy places, in the true tent that the Lord set up, not man."
FTV,8:1,"Now the point in what Majesty in heaven, ","we are saying is this: we have such a high priest, one who is seated at the right hand of the throne of the"
FTV,8:2,a minister in the holy ,"places, in the true tent that the Lord set up, not man."
MA,8:2,A minister where?,"In the holy places, in the true tent that the Lord set up"
INT,8:2,A minister in the holy what?,Places
INT,8:5,They serve a copy and shadow of what?,The heavenly things
INT,8:5,They serve a copy and what?,Shadow
INT,8:5,Who was about to erect the tent?,Moses
INT,8:5,Moses was about to erect what?,The tent
INT,8:5,He was instructed by who?,God
INT,8:5,"He was instructed by God, saying what?",See that you make everything according to the pattern that was shown you on the mountain
INT,8:5,The pattern that was shown you where?,On the mountain
INT,8:5,Which pattern?,The pattern that was shown you on the mountain
INT,8:6,Christ has obtained a ministry that is what?,As much more excellent than the old as the covenant he mediates is better
INT,8:6,The covenant he mediates is what?,Better
INT,8:6,"The covenant he mediates is better, why?",Since it is enacted on better promises
INT,8:6,It is enacted on what?,Better promises
INT,8:6,What is enacted on better promises?,The covenant he mediates
INT,8:7,What had been faultless?,That first covenant
INT,8:7,No occasion to what?,Look for a second
INT,8:7,What to look for a second?,No occasion
INT,8:7,No occasion to look for what?,A second
INT,8:8,For he finds what?,Fault with them
INT,8:8,Who finds fault with them?,The Lord
INT,8:9,Bring them out of the land of Egypt how?,By the hand
INT,8:9,By the hand to bring them where?,Out of the land of Egypt
INT,8:9,And so I showed what?,No concern for them
INT,8:9,"I showed no concern for them, declares who?",The Lord
INT,8:11,From the least of them to what?,The greatest
INT,8:11,What to the greatest?,The least of them
INT,8:12,What toward their iniquities?,I will be merciful
INT,8:12,"Merciful toward their iniquities, and I will what?",Remember their sins no more
INT,8:13,And what is becoming obsolete and what?,Growing old
INT,8:13,Becoming obsolete and growing old is what?,Ready to vanish away
INT,8:13,Ready to what?,Vanish away
INT,8:13,What to vanish away?,Ready
INT,8:13,What and growing old?,Obsolete
QT,9:27,Quote Hebrews 9:27,"And just as it is appointed for man to die once, and after that comes judgment,"
QT,9:28,Quote Hebrews 9:28,"so Christ, having been offered once to bear the sins of many, will appear a second time, not to deal with sin but to save those who are eagerly waiting for him."
FTV,9:27,And just as it is,"appointed for man to die once, and after that comes judgment,"
FTV,9:28,"so Christ, having been offered ","once to bear the sins of many, will appear a second time, not to deal with sin but to save those who are eagerly waiting for him."
MA,9:2,The lampstand and what?,The table and the bread of the presence
INT,9:2,The bread of the what?,Presence
INT,9:2,The table and the what?,Bread of the presence
INT,9:2,In which were the lampstand and the table and the bread of the presence. It is called what?,The Holy Place
INT,9:4,The golden altar of incense and what?,The ark of the covenant
INT,9:4,What with gold?,Covered on all sides
INT,9:4,Ark of the covenant covered how?,On all sides with gold
INT,9:4,Ark of the covenant covered on all sides with what?,Gold
MA,9:4,A golden urn holding the manna and what?,"Aaron's staff that budded, and the tablets of the covenant"
INT,9:4,The tablets of what?,The covenant
INT,9:4,What budded?,Aaron's staff
INT,9:4,Which urn?,A golden
INT,9:5,Above it were the cherubim of what?,Glory
INT,9:5,The cherubim of glory overshadowing what?,The mercy seat
INT,9:5,Overshadowing what?,The mercy seat
INT,9:5,Which seat?,The mercy seat
INT,9:6,These preparations having been what?,Thus made
INT,9:6,The priests go regularly where?,Into the first section
INT,9:6,"The priests go regularly into the first section, performing what?",Their ritual duties
INT,9:6,Performing their ritual what?,Duties
INT,9:6,Which duties?,Their ritual
INT,9:7,The high priest goes where?,Into the second
INT,9:7,"The high priest goes, and he but when?",Once a year
MA,9:7,"Not without taking blood, which he offers for what?",Himself and for the unintentional sins of the people
INT,9:7,The unintentional sins of whom?,The people
INT,9:7,The unintentional what?,Sins of the people
INT,9:7,"Blood, which he offers for himself and for what?",The unintentional sins of the people
INT,9:8,What is still standing?,The first section
INT,9:8-9,Is still standing (which is symbolic for) what?,The present age
INT,9:9,"According to this arrangement, what?",Gifts and sacrifices are offered that cannot perfect the conscience of the worshiper
INT,9:9,What of the worshiper?,The conscience
INT,9:10,Only with food and drink and what?,Various washings
INT,9:10,"What, imposed until the time of reformation?",Regulations for the body
INT,9:10,What of reformation?,The time
INT,9:11,What not of this creation?,The greater and more perfect tent
INT,9:12,Securing an eternal redemption how?,By means of his own blood
INT,9:12,Thus securing what?,An eternal redemption
INT,9:12,Which redemption?,An eternal
INT,9:13,What and the sprinkling of defiled persons with the ashes of a heifer?,The blood of goats and bulls
INT,9:13,The sprinkling of defiled what?,Persons
INT,9:13,The sprinkling of defiled persons how?,With the ashes of a heifer
INT,9:13,With the ashes of what?,A heifer
INT,9:14,Offered himself without blemish to God how?,Through the eternal Spirit
INT,9:14,Offered himself without blemish to who?,God
INT,9:14,Purify our what?,Conscience
INT,9:14,Purify our conscience from what?,Dead works
INT,9:14,Purify our conscience from dead works why?,To serve the living God
INT,9:15,Since a death has occured that what?,Redeems them from the transgressions committed under the first covenant
