Book,Reference,Question Type,Question,Answer
1 Thessalonians,,CR,What from error?,Does not spring
1 Thessalonians,,INT,Or any attempt to what?,Deceive
1 Thessalonians,,INT,Does not spring from error or impurity or what?,Any attempt to deceive
1 Thessalonians,,CR,Attempt to what?,Deceive
1 Thessalonians,2:4,INT,To please God who tests what?,Our hearts
1 Thessalonians,,INT,Who tests our hearts?,God
1 Thessalonians,2:5,INT,What with words of flattery?,We never came
1 Thessalonians,,INT,Nor with a pretext for what?,Greed
1 Thessalonians,,INT,Nor with a pretext for greed what?,God is witness
1 Thessalonians,,CR,Who is witness?,God
1 Thessalonians,,CR,What for greed?,A pretext
1 Thessalonians,,INT,"What of flattery, as you know?",Words
1 Thessalonians,2:6,INT,What as apostles of Christ?,We could have made demands
1 Thessalonians,,INT,We could have made demands how?,As apostles of Christ
1 Thessalonians,2:7,INT,Like a nursing mother what?,Taking care of her own children
1 Thessalonians,,INT,Like a nursing mother taking care of whom?,Her own children
1 Thessalonians,,INT,"What among you, like a nursing mother?",We were gentle
1 Thessalonians,2:8,INT,"So, being affectionately what?",Desirous of you
1 Thessalonians,,MA,"So, being affectionately desirous of you, we were ready to share with you what?",Not only the gospel of God but also our own selves
1 Thessalonians,,CR,"Also our own selves, why?",Because you had become very dear to us
1 Thessalonians,,INT,You had become very dear to whom?,Us
1 Thessalonians,,CR,Very dear to whom?,Us
1 Thessalonians,2:12,MA,We exhorted each on of you and what?,Encouraged you and charged you to walk in a manner worthy of God
1 Thessalonians,,INT,Encouraged you and charged you to what?,Walk in a manner worthy of God
1 Thessalonians,,INT,Walk in a manner how?,Worthy of God
1 Thessalonians,,MA,"Walk in a manner worthy of God, who calls you where?",Into his own kingdom and glory
1 Thessalonians,2:13,MA,"From us, you accepted it how?","Not as the word of men but as what it really is, the word of God"
1 Thessalonians,,INT,You accepted it not as what?,The word of men
1 Thessalonians,,INT,"As what it really is, what?",The word of God
1 Thessalonians,,INT,"What it really is, the word of God, which is what?",At work in you believers
1 Thessalonians,2:14,INT,What that are in Judea?,The churches of God in Christ Jesus
1 Thessalonians,,INT,From you own countrymen as they did from whom?,The Jews
1 Thessalonians,,INT,What from your own countrymen?,You suffered the same things
1 Thessalonians,2:14-15,MA,"They did from the Jews, who killed whom?",Both the Lord Jesus and the prophets
1 Thessalonians,,INT,"They did from the Jews, who killed both the Lord Jesus and whom?",The prophets
1 Thessalonians,2:15,MA,"Who killed both the Lord Jesus and the prophets, and what?","Drove us out, and displease God and oppose all mankind"
1 Thessalonians,,INT,What Jesus and the prophets?,Killed
1 Thessalonians,,CR,Drove us where?,Out
1 Thessalonians,,CR,Displease whom?,God
1 Thessalonians,2:15-16,INT,Oppose all makind how?,By hindering us from speaking to the Gentiles that they might be saved
1 Thessalonians,,INT,What by hindering us from speaking to the Gentiles?,Oppose all mankind
1 Thessalonians,2:16,INT,By hindering us from speaking to whom?,The Gentiles
1 Thessalonians,,INT,Speaking to the Gentiles why?,That they might be saved
1 Thessalonians,,INT,As always to fill up what?,The measure of their sins
1 Thessalonians,,INT,To fill up the measure of what?,Their sins
1 Thessalonians,,INT,To fill up the measure of their sins. But what?,Wrath has come upon them at last!
1 Thessalonians,2:17,MA,We were torn away from you how?,"For a short time, in person not in heart"
1 Thessalonians,,INT,"For a short time, in person not how?",In heart
1 Thessalonians,,INT,We endeavored the more eagerly to what?,See you face to face
1 Thessalonians,,INT,We endeavored the more eagerly and with what?,Great desire
1 Thessalonians,2:17-18,INT,We endeavored the more eagerly and with great desire to see you face to face why?,Because we wanted to come to you
1 Thessalonians,2:18,INT,"We wanted to come to you--I, Paul again and again, but what?",Satan hindered us
1 Thessalonians,,CR,Who hindered us?,Satan
1 Thessalonians,2:19,MA,What of boasting before our Lord?,Our hope or joy or crown
1 Thessalonians,,,Joy or crown of boasting before out Lord Jesus when?,At his coming
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
1 Thessalonians,,,,
